product_name,rating,customers_rated,price
"Earth Rated Dog Poop Bags, New Look, Guaranteed Leak Proof and Extra Thick Waste Bag Refill Rolls For Dogs, Lavender Scented, 270 Count",4.8,132770,13.72
"Amazon Basics Dog and Puppy Pee Pads with Leak-Proof Quick-Dry Design for Potty Training, Standard Absorbency, Regular Size, 22 x 22 Inches, Pack of 100, Blue & White",4.5,217908,28.59
"Dr. Elsey's Precious Cat Ultra Cat Litter, 18 pound bag",4.3,69955,11.69
Purina Fancy Feast Gravy Lovers Poultry and Beef Gourmet Wet Cat Food Variety Pack - (30) 3 oz. Cans,4.7,81899,23.20
"TEMPTATIONS Classic Crunchy and Soft Cat Treats Creamy Dairy Flavor, 16 oz. Tub",4.8,97541,8.48
"CESAR Adult Wet Dog Food Classic Loaf in Sauce Beef Recipe, Filet Mignon, Grilled Chicken and Porterhouse Steak Variety Pack, 3.5 oz. Easy Peel Trays (Pack of 24)",4.7,34585,27.96
"GREENIES PILL POCKETS for Dogs Capsule Size Natural Soft Dog Treats with Real Peanut Butter, 15.8 oz. Pack (60 Treats)",4.7,17004,17.98
"Purina Fortiflora Probiotics for Dogs, Pro Plan Veterinary Supplements Powder Probiotic Dog Supplement ,30 Count (Pack of 1)",4.7,41928,30.99
"TEMPTATIONS Classic Crunchy and Soft Cat Treats Tasty Chicken Flavor, 30 oz. Tub",4.8,67454,15.48
Purina Fancy Feast Grilled Wet Cat Food Seafood Collection in Wet Cat Food Variety Pack - (24) 3 oz. Cans,4.7,49182,17.99
"Amazon Basics Standard Dog Poop Bags With Dispenser and Leash Clip, Unscented, 300 Count, 20 Pack of 15, Black, 13 Inch x 9 Inch",4.8,180489,9.35
"Blue Buffalo Life Protection Formula Natural Adult Dry Dog Food, Chicken and Brown Rice 30-lb",4.7,33625,64.98
"Good'N'Fun Triple Flavored Rawhide Kabobs for Dogs, 1.5 Pound (Pack of 1)",4.7,50173,17.60
"Milk-Bone Original Dog Biscuits, Medium Crunchy Dog Treats, 10 Pound",4.8,56102,14.98
"Purina ONE True Instinct Tender Cuts in Gravy With Real Turkey and Venison, and With Real Chicken and Duck High Protein Wet Dog Food Variety Pack - (12) 13 oz. Cans",4.5,38410,21.98
"PetSafe ScoopFree Premium Blue Crystal Litter, 2-Pack – Includes 2 Bags of Lightly Scented Litter – Absorbs Odors 5x Faster than Clay Clumping – Low Tracking for Less Mess – Lasts up to a Month",4.4,36351,24.99
"Arm Hammer SLIDE Platinum Multi-Cat Easy Clean-Up Clumping Cat Litter, 14 Days of Odor Control 18 lb",4.6,28669,17.99
"All-Absorb A26 Male Dog Wrap, 50 Count, Small",4.7,21199,17.99
Fancy Feast Poultry and Beef Feast Classic Pate Collection Grain Free Wet Cat Food Variety Pack - (30) 3 oz. Cans,4.7,42008,23.76
"PetSafe ScoopFree Crystal Litter Tray Refills, Premium Blue Crystals, 3-Pack, Disposable Tray, Includes Leak Protection & Low Tracking Litter, Absorbs Odors On Contact",4.6,35972,69.95
"Milk-Bone Soft & Chewy Dog Treats, Beef & Filet Mignon Recipe, 25 Ounce",4.7,45536,14.48
"Purina Fancy Feast Pate Wet Cat Food Variety Pack, Savory Centers Pate With a Gravy Center - (2 Packs of 12) 3 oz. Pull-Top Cans",4.6,40510,32.26
"ARM & HAMMER Clump & Seal Platinum Cat Litter, Multi-Cat, 40 lb",4.6,45302,34.99
Rocco & Roxie Stain & Odor Eliminator for Strong Odor - Enzyme Pet Odor Eliminator for Home - Carpet Stain Remover for Cats and Dog Pee - Enzymatic Cat Urine Destroyer - Carpet Cleaner Spray,4.5,106265,19.97
"SHEBA PERFECT PORTIONS Cuts in Gravy Adult Wet Cat Food Trays (24 Count, 48 Servings), Roasted Chicken, Gourmet Salmon and Tender Turkey Entrée, Easy Peel Twin-Pack Trays",4.6,44142,25.98
"Milk-Bone MaroSnacks Dog Treats, Beef, 40 Ounce",4.7,73173,11.48
"Pooph Pet Odor Eliminator, 32oz Spray - Dismantles Odors on a Molecular Basis, Dogs, Cats, Freshener, Eliminator, Urine, Poop, Pee, Deodorizer, Natures, Puppy, Fresh, Clean, Furniture, Potty, Safe",4.0,18855,23.97
"Blue Buffalo Health Bars Natural Crunchy Dog Treats Biscuits, Pumpkin & Cinnamon 16-oz Bag",4.7,29830,4.98
"Angry Orange Pet Odor Eliminator for Strong Odor - Citrus Deodorizer for Strong Dog or Cat Pee Smells on Carpet, Furniture & Indoor Outdoor Floors - 24 Fluid Ounces - Puppy Supplies",4.4,173120,19.97
"PetArmor Plus Flea and Tick Prevention for Dogs, Dog Flea and Tick Treatment, Waterproof Topical, Fast Acting, Small Dogs (5-22 lbs), 3 Doses",4.3,44806,0
"Glad for Pets Black Charcoal Training Pads for Dogs, 23"" x 23"" - Super Absorbent & Odor Neutralizing Dog Potty Pads, Leak-Resistant Puppy Pee Pads, Pheromone Attractant for Easy Training, Pack of 100",4.5,108182,25.20
"Earth Rated Dog Wipes, New Look, Thick Plant Based Grooming Wipes For Easy Use on Paws, Body and Bum, Unscented, 100 Count",4.7,42474,9.99
"Blue Buffalo BLUE Bits Natural Soft-Moist Training Dog Treats, Beef Recipe 19-oz Bag",4.7,23808,0
"Purina Pro Plan High Protein Dog Food With Probiotics for Dogs, Shredded Blend Chicken & Rice Formula - 35 lb. Bag",4.7,18428,69.48
"TEMPTATIONS MIXUPS Crunchy and Soft Cat Treats Surfer's Delight Flavor, 16 oz. Tub",4.8,42614,8.48
ARM & Hammer Cat Litter Deodorizer 30 oz,4.7,29200,4.33
"IAMS PROACTIVE HEALTH Adult Indoor Weight Control & Hairball Care Dry Cat Food with Chicken & Turkey Cat Kibble, 7 lb. Bag",4.8,35772,18.98
Purina ONE Dry Dog Food Lamb and Rice Formula - 31.1 lb. Bag,4.7,17115,48.98
"GREENIES Original Large Natural Dog Dental Care Chews Oral Health Dog Treats, 36 oz. Pack (24 Treats)",4.8,23967,39.28
"MidWest Homes for Pets Newly Enhanced Single & Double Door iCrate Dog Crate, Includes Leak-Proof Pan, Floor Protecting Feet , Divider Pane l & New Patented Features",4.7,163521,41.99
"Cat's Pride Max Power: Total Odor Control - Up to 10 Days of Powerful Odor Control - Strong Clumping - Hypoallergenic - 99% Dust Free - Multi-Cat Litter, Unscented, 15 Pounds",4.5,16425,12.94
"Arm & Hammer Forever Fresh Clumping Cat Litter Lavender, MultiCat 18lb with 20% More Lavender Freshness, Pet Friendly with Essential Oils",4.3,9808,15.99
Multifunctional Supplements for Dogs - Glucosamine Chondroitin for Joint Support with Probiotics for Gut & Immune Health – Omega Fish Oil with Antioxidants and Vitamins for Skin & Heart Health,4.5,44289,29.97
"Pure Wild Alaskan Salmon Oil for Dogs & Cats - Omega 3 Skin & Coat Support - Liquid Food Supplement for Pets - Natural EPA + DHA Fatty Acids for Joint Function, Immune & Heart Health, 32 Fl Oz",4.5,55512,36.97
Advantage II Large Cat Vet-Recommended Flea Treatment & Prevention | Cats Over 9 lbs. | 6-Month Supply,4.5,66349,63.98
"Purina Friskies Natural Cat Treats Party Mix Natural Yums With Real Salmon and Added Vitamins, Minerals and Nutrients - 20 oz. Canister",4.8,19027,8.49
"GREENIES Original Petite Natural Dog Dental Care Chews Oral Health Dog Treats, 36 oz. Pack (60 Treats)",4.8,31047,37.87
"Rachael Ray Nutrish Soup Bones Dog Treats, Chicken & Veggies Flavor, 11 Bones",4.5,43661,0
"FELINE GREENIES Adult Dental Cat Treats, Oven Roasted Chicken Flavor, 9.75 oz. Tub",4.8,52864,10.98
"Zesty Paws Probiotics for Dogs - Digestive Enzymes for Gut Flora, Digestive Health, Diarrhea & Bowel Support - Clinically Studied DE111 - Dog Supplement Soft Chew for Pet Immune System - Pumpkin",4.5,34657,29.97
